url,titulo,categoria,origen,precio,precio_por_kg,peso_volumen,proteinas,carbohidratos,grasas,fibra,azucares,saturadas,sal,calorias,calorias_kj,texto_busqueda,norm_precio,norm_nutri,score_nutricional
https://www.ahorramas.com/aceite-de-oliva-virgen-extra-maestros-de-hojiblanca-garrafa-3l-56752.html,aceite de oliva virgen extra maestros de hojiblanca garrafa 3l,alimentacion_ofertas,ahorramas,15.99,5.33,3l,,,,,,,,,,aceite de oliva virgen extra maestros de hojiblanca garrafa 3l alimentacion_ofertas,0.9152,0.0,0.0
https://www.ahorramas.com/mayonesa-de-ajo-asado-hellmanns-250ml-77704.html,mayonesa de ajo asado hellmanns 250ml,alimentacion_ofertas,ahorramas,1.99,7.96,250ml,0.7,6.19,27.0,2.0,23.0,2.69,2.0,270.0,1128.0,mayonesa de ajo asado hellmanns 250ml alimentacion_ofertas,0.991,0.0,0.0
https://www.ahorramas.com/aceite-de-oliva-virgen-carbonell-3l-48233.html,aceite de oliva virgen carbonell 3l,alimentacion_ofertas,ahorramas,13.99,4.66,3l,,,100.0,,,15.0,0.0,900.0,3700.0,aceite de oliva virgen carbonell 3l alimentacion_ofertas,0.926,0.0,0.0
https://www.ahorramas.com/aceite-de-oliva-carbonell-garrafa-3l-04-77029.html,"aceite de oliva carbonell garrafa 3l 0,4º",alimentacion_ofertas,ahorramas,12.96,4.32,3l,,,,,,,,,,"aceite de oliva carbonell garrafa 3l 0,4º alimentacion_ofertas",0.9316,0.0,0.0
https://www.ahorramas.com/mayonesa-a-la-francesa-hellmanns-340-ml-97470.html,mayonesa a la francesa hellmanns 340 ml,alimentacion_ofertas,ahorramas,2.0,,340ml,0.6,2.99,73.0,0.59,2.9,5.69,0.93,671.0,2808.0,mayonesa a la francesa hellmanns 340 ml alimentacion_ofertas,0.9909,0.0,0.0
https://www.ahorramas.com/aceite-de-oliva-intenso-1-coosur-5l-97878.html,aceite de oliva intenso 1º coosur 5l,alimentacion_ofertas,ahorramas,19.45,3.89,5l,,0.0,91.0,,0.0,12.0,0.0,822.0,3381.0,aceite de oliva intenso 1º coosur 5l alimentacion_ofertas,0.8964,0.0,0.0
https://www.ahorramas.com/cafe-molido-mezcla-intensa-la-estrella-pack-2x250g-2299.html,café molido mezcla intensa la estrella pack 2x250g,alimentacion_ofertas,ahorramas,6.5,,250g,,,,,,,,,,café molido mezcla intensa la estrella pack 2x250g alimentacion_ofertas,0.9665,0.0,0.0
https://www.ahorramas.com/salsa-mayo-de-trufa-sin-gluten-bocabajo-hellmanns-250ml-77594.html,salsa mayo de trufa sin gluten bocabajo hellmanns 250ml,alimentacion_ofertas,ahorramas,1.99,7.96,250ml,0.89,8.99,27.0,0.4,4.69,2.69,1.69,285.0,1191.0,salsa mayo de trufa sin gluten bocabajo hellmanns 250ml alimentacion_ofertas,0.991,0.0001,0.0
https://www.ahorramas.com/aceite-de-oliva-04-carbonell-5l-38498.html,"aceite de oliva 0,4º carbonell 5l",alimentacion_ofertas,ahorramas,19.95,3.99,5l,,,100.0,,,159.0,0.0,900.0,3700.0,"aceite de oliva 0,4º carbonell 5l alimentacion_ofertas",0.8937,0.0,0.0
https://www.ahorramas.com/caldo-casero-gallina-blanca-1l-pollo-100-natural-29420.html,caldo casero gallina blanca 1l pollo 100% natural,alimentacion_ofertas,ahorramas,2.2,2.2,1l,0.49,0.2,0.3,0.0,7.0,0.19,0.759,,22.0,caldo casero gallina blanca 1l pollo 100% natural alimentacion_ofertas,0.9898,0.0,0.0
https://www.ahorramas.com/sobaos-alipende-18-uds-340g-84529.html,sobaos alipende 18 uds 340g,alimentacion_ofertas,ahorramas,1.69,,18uds,549.0,53.0,24.19,1.49,26.7,569.0,0.959,453.0,,sobaos alipende 18 uds 340g alimentacion_ofertas,0.9926,0.037,0.0
https://www.ahorramas.com/galleta-barquillo-mini-de-chocolate-con-leche-y-avellanas-artiach-110g-97801.html,galleta barquillo mini de chocolate con leche y avellanas artiach 110g,alimentacion_ofertas,ahorramas,1.99,,110g,4.99,62.0,476.0,1.59,49.0,159.0,0.3,532.0,2222.0,galleta barquillo mini de chocolate con leche y avellanas artiach 110g alimentacion_ofertas,0.991,0.0003,0.0
https://www.ahorramas.com/cafe-espresso-intenso-nescafe-dolce-gusto-16-capsulas-79645.html,café espresso intenso nescafé dolce gusto 16 cápsulas,alimentacion_ofertas,ahorramas,4.95,,,,,,,,,,,,café espresso intenso nescafé dolce gusto 16 cápsulas alimentacion_ofertas,0.9749,0.0,0.0
https://www.ahorramas.com/hogaza-de-pan-the-rustik-bakery-400g-48388.html,hogaza de pan the rustik bakery 400g,alimentacion_ofertas,ahorramas,2.69,,400g,9.4,459.0,1.59,49.0,3.89,0.39,10.0,239.0,1012.0,hogaza de pan the rustik bakery 400g alimentacion_ofertas,0.9872,0.0004,0.0
https://www.ahorramas.com/yakisoba-con-pollo-ta-tung-250g-66227.html,yakisoba con pollo ta-tung 250g,alimentacion_ofertas,ahorramas,3.99,,250g,6.49,18.0,8.0,,4.19,0.79,39.0,,,yakisoba con pollo ta-tung 250g alimentacion_ofertas,0.9801,0.0002,0.0
https://www.ahorramas.com/fabada-asturiana-litoral--420g-476.html,fabada asturiana litoral 420g,alimentacion_ofertas,ahorramas,2.3,,420g,6.59,7.69,8.7,5.19,0.89,32.0,5.9,145.0,604.0,fabada asturiana litoral 420g alimentacion_ofertas,0.9893,0.0003,0.0
https://www.ahorramas.com/aceitunas-verdes-rellanas-de-boqueron-en-vinagre-el-faro-150g-86917.html,aceitunas verdes rellanas de boquerón en vinagre el faro 150g,alimentacion_ofertas,ahorramas,1.75,11.67,150g,,,,,,,,,,aceitunas verdes rellanas de boquerón en vinagre el faro 150g alimentacion_ofertas,0.9923,0.0,0.0
https://www.ahorramas.com/caballa-del-sur-usisa-78g-en-aceite-oliva-63314.html,caballa del sur usisa 78g en aceite oliva,alimentacion_ofertas,ahorramas,1.99,25.51,78g,,,,,,,,,,caballa del sur usisa 78g en aceite oliva alimentacion_ofertas,0.991,0.0,0.0
https://www.ahorramas.com/snacks-de-maiz-doritos-tex-mex-225g-79776.html,snacks de maíz doritos tex-mex 225g,alimentacion_ofertas,ahorramas,2.55,,225g,6.8,61.0,22.0,5.59,3.79,22.0,0.89,480.0,2009.0,snacks de maíz doritos tex-mex 225g alimentacion_ofertas,0.9879,0.0003,0.0
https://www.ahorramas.com/cerveza-rubia-mahou-clasica-pack-24-latas-33cl-46839.html,cerveza rubia mahou clásica pack 24 latas 33cl,bebidas_ofertas,ahorramas,13.44,1.7,33cl,,,,,,,,,,cerveza rubia mahou clásica pack 24 latas 33cl bebidas_ofertas,0.929,0.0,0.0
https://www.ahorramas.com/cerveza-rubia-especial-estrella-galicia-pack-6-botellas-20cl--19596.html,cerveza rubia especial estrella galicia pack 6 botellas 20cl,bebidas_ofertas,ahorramas,3.55,2.96,20cl,0.0,359.0,0.0,,0.0,0.0,0.0,47.0,197.0,cerveza rubia especial estrella galicia pack 6 botellas 20cl bebidas_ofertas,0.9825,0.0,0.0
https://www.ahorramas.com/cerveza-rubia-especial-estrella-galicia-pack-12-botellas-25cl-32605.html,cerveza rubia especial estrella galicia pack 12 botellas 25cl,bebidas_ofertas,ahorramas,7.32,2.44,25cl,,,,,,,,,,cerveza rubia especial estrella galicia pack 12 botellas 25cl bebidas_ofertas,0.9621,0.0,0.0
https://www.ahorramas.com/refresco-cola-coca-cola-2l-pack-2-zero-zero-sin-cafeina-26464.html,refresco cola coca-cola 2l pack 2 zero zero sin cafeína,bebidas_ofertas,ahorramas,3.8,0.95,2l,0.0,0.0,0.0,,0.0,9.0,0.02,0.2,0.9,refresco cola coca-cola 2l pack 2 zero zero sin cafeína bebidas_ofertas,0.9812,0.0,0.0
https://www.ahorramas.com/cerveza-rubia-especial-estrella-galicia-pack-10-latas-33cl-35464.html,cerveza rubia especial estrella galicia pack 10 latas 33cl,bebidas_ofertas,ahorramas,7.6,2.3,33cl,0.0,359.0,0.0,,0.0,0.0,0.0,47.0,197.0,cerveza rubia especial estrella galicia pack 10 latas 33cl bebidas_ofertas,0.9606,0.0,0.0
https://www.ahorramas.com/zumo-de-naranja-100-exprimida-sin-pulpa-alipende-1l-85555.html,zumo de naranja 100% exprimida sin pulpa alipende 1l,bebidas_ofertas,ahorramas,1.85,1.85,1l,,10.0,0.0,,109.0,9.0,,43.0,181.0,zumo de naranja 100% exprimida sin pulpa alipende 1l bebidas_ofertas,0.9917,0.0,0.0
https://www.ahorramas.com/refresco-cola-coca-cola-botella-2l-pack-2-zero-77576.html,refresco cola coca-cola botella 2l pack 2 zero,bebidas_ofertas,ahorramas,3.8,0.95,2l,0.0,0.0,0.0,,0.0,0.0,0.02,0.2,0.9,refresco cola coca-cola botella 2l pack 2 zero bebidas_ofertas,0.9812,0.0,0.0
https://www.ahorramas.com/refresco-cola-coca-cola-botella-2l-pack-4-zero-78897.html,refresco cola coca-cola botella 2l pack 4 zero,bebidas_ofertas,ahorramas,7.52,0.94,2l,0.0,0.0,0.0,,0.0,0.0,0.02,0.2,0.9,refresco cola coca-cola botella 2l pack 4 zero bebidas_ofertas,0.961,0.0,0.0
https://www.ahorramas.com/smoothie-frambuesafresa-y-platano-250ml-87834.html,"smoothie frambuesa,fresa y plátano 250ml",bebidas_ofertas,ahorramas,0.99,3.96,250ml,,,,,33.0,,,,,"smoothie frambuesa,fresa y plátano 250ml bebidas_ofertas",0.9964,0.0,0.0
https://www.ahorramas.com/cerveza-rubia-especial-mahou-5-estrellas-pack-12-botellas-25cl-65751.html,cerveza rubia especial mahou 5 estrellas pack 12 botellas 25cl,bebidas_ofertas,ahorramas,6.36,2.12,25cl,,,,,,,,,,cerveza rubia especial mahou 5 estrellas pack 12 botellas 25cl bebidas_ofertas,0.9673,0.0,0.0
https://www.ahorramas.com/refresco-cola-pepsi-zero-botella-175l-pack-2-53688.html,"refresco cola pepsi zero botella 1,75l pack 2",bebidas_ofertas,ahorramas,2.8,0.8,"1,75l",0.0,0.1,0.0,,0.0,0.0,0.01,0.6,2.0,"refresco cola pepsi zero botella 1,75l pack 2 bebidas_ofertas",0.9866,0.0,0.0
https://www.ahorramas.com/cerveza-rubia-san-miguel-especial-pack-12-latas-33cl-21920.html,cerveza rubia san miguel especial pack 12 latas 33cl,bebidas_ofertas,ahorramas,5.4,1.36,33cl,,,,,,,,,,cerveza rubia san miguel especial pack 12 latas 33cl bebidas_ofertas,0.9725,0.0,0.0
https://www.ahorramas.com/cerveza-rubia-adlerbrau-lata-33cl-55806.html,cerveza rubia adlerbrau lata 33cl,bebidas_ofertas,ahorramas,0.32,0.97,33cl,,,,,,,,,,cerveza rubia adlerbrau lata 33cl bebidas_ofertas,1.0,0.0,0.0
https://www.ahorramas.com/cerveza-sin-alcohol-mahou-00-tostada-pack-12-latas-33cl-50134.html,cerveza sin alcohol mahou 00 tostada pack 12 latas 33cl,bebidas_ofertas,ahorramas,8.04,2.03,33cl,0.0,,1.0,,30.0,,,,,cerveza sin alcohol mahou 00 tostada pack 12 latas 33cl bebidas_ofertas,0.9582,0.0,0.0
https://www.ahorramas.com/agua-font-vella-33cl-sport-55380.html,agua font vella 33cl sport,bebidas_ofertas,ahorramas,0.54,1.64,33cl,,,,,,,,,,agua font vella 33cl sport bebidas_ofertas,0.9988,0.0,0.0
https://www.ahorramas.com/agua-bezoya-05l-pack-6-42673.html,"agua bezoya 0,5l pack 6",bebidas_ofertas,ahorramas,3.36,1.12,"0,5l",,,,,,,,,,"agua bezoya 0,5l pack 6 bebidas_ofertas",0.9835,0.0,0.0
https://www.ahorramas.com/bebida-monster-sin-azucar-anadido-50cl-x-4-taurina-ginseng-51372.html,bebida monster sin azúcar añadido 50cl x 4 taurina ginseng,bebidas_ofertas,ahorramas,5.36,2.68,50cl,0.0,0.9,0.0,,0.0,0.0,0.4,2.0,10.0,bebida monster sin azúcar añadido 50cl x 4 taurina ginseng bebidas_ofertas,0.9727,0.0,0.0
https://www.ahorramas.com/vino-blanco-do-rueda-cuatro-rayas-verdejo-7130.html,vino blanco do rueda cuatro rayas verdejo,bebidas_ofertas,ahorramas,5.25,7.0,6uds,0.19,1.69,0.1,,0.05,,0.009,79.0,327.0,vino blanco do rueda cuatro rayas verdejo bebidas_ofertas,0.9733,0.0,0.0
https://www.ahorramas.com/bacalao-en-filetes-pescanova-400g-60286.html,bacalao en filetes pescanova 400g,congelados_ofertas,ahorramas,7.99,,400g,,,,,,,,,,bacalao en filetes pescanova 400g congelados_ofertas,0.9585,0.0,0.0
https://www.ahorramas.com/filete-de-merluza-antonio-y-ricardo-450g-sin-piel-58373.html,filete de merluza antonio y ricardo 450g sin piel,congelados_ofertas,ahorramas,4.49,,450g,,0.0,1.69,,,29.0,,,,filete de merluza antonio y ricardo 450g sin piel congelados_ofertas,0.9774,0.0,0.0
https://www.ahorramas.com/varitas-de-merluza-pescanova-300g-empanadas-55935.html,varitas de merluza pescanova 300g empanadas,congelados_ofertas,ahorramas,2.99,,300g,1098.0,,,,,,,,,varitas de merluza pescanova 300g empanadas congelados_ofertas,0.9855,0.0418,0.0
https://www.ahorramas.com/medallones-de-merluza-pescanova-400g-58779.html,medallones de merluza pescanova 400g,congelados_ofertas,ahorramas,6.79,,400g,15.89,0.0,1.59,,,0.39,0.6,77.0,324.0,medallones de merluza pescanova 400g congelados_ofertas,0.965,0.0003,0.0
https://www.ahorramas.com/anillos-a-la-romana-sin-gluten-pescanova-400g-58716.html,anillos a la romana sin gluten pescanova 400g,congelados_ofertas,ahorramas,3.99,,400g,,,,,,,,,,anillos a la romana sin gluten pescanova 400g congelados_ofertas,0.9801,0.0,0.0
https://www.ahorramas.com/lasana-la-cocinera-bolonesa-500g-38871.html,lasaña la cocinera boloñesa 500g,congelados_ofertas,ahorramas,3.59,,500g,209.0,,,,500.0,,28.0,,,lasaña la cocinera boloñesa 500g congelados_ofertas,0.9823,0.0066,0.0
https://www.ahorramas.com/bacalao-al-vacio-filetes-scanfisk-360g-15809.html,bacalao al vacio filetes scanfisk 360g,congelados_ofertas,ahorramas,5.5,,360g,,,,,,,,,,bacalao al vacio filetes scanfisk 360g congelados_ofertas,0.972,0.0,0.0
https://www.ahorramas.com/pizza-ristorante-dr-oetker-340g-prosciutto-76572.html,pizza ristorante dr oetker 340g prosciutto,congelados_ofertas,ahorramas,3.95,,340g,,,,,,,,,,pizza ristorante dr oetker 340g prosciutto congelados_ofertas,0.9803,0.0,0.0
https://www.ahorramas.com/gyoza-de-pollo-leroy-396g-54298.html,gyoza de pollo leroy 396g,congelados_ofertas,ahorramas,3.29,,396g,,,,,,,,,,gyoza de pollo leroy 396g congelados_ofertas,0.9839,0.0,0.0
https://www.ahorramas.com/arroz-con-pollo-findus-400g-tikka-masala-28532.html,arroz con pollo findus 400g tikka masala,congelados_ofertas,ahorramas,4.89,,400g,,,,,,,,,,arroz con pollo findus 400g tikka masala congelados_ofertas,0.9753,0.0,0.0
https://www.ahorramas.com/nuggets-con-rebozado-fino-la-cocinera-400-g-82661.html,"nuggets con rebozado fino, la cocinera, 400 g",congelados_ofertas,ahorramas,5.25,,400g,,,,,,,,,,"nuggets con rebozado fino, la cocinera, 400 g congelados_ofertas",0.9733,0.0,0.0
https://www.ahorramas.com/pizza-la-mia-grande-dr-oetker-400g-prosciutto-50940.html,pizza la mia grande dr oetker 400g prosciutto,congelados_ofertas,ahorramas,5.35,,400g,46992.0,,809.0,,,,0.0,,,pizza la mia grande dr oetker 400g prosciutto congelados_ofertas,0.9728,1.0,0.0
